id,lead_id,leadCreatedAt,startTime,endTime,statusBefore,statusAfter,user_id,owner_id,endTime_id,user_history_id
60a652c74fb7da1b18beb82160a652c74fb7da1b18beb821,5e154831831cdd0b1377ad4d,1633586792,2020-01-08 03:10:40.885,2020-01-08 03:10:40.885,L1A,L1A,9WkkILnTShdpvDSk1r82iXKO15w1,9WkkILnTShdpvDSk1r82iXKO15w1,20200108,
60a652c74fb7da1b18beb8215e354172af631b5d748e332a,5e154831831cdd0b1377ad4d,1633586792,2020-01-08 03:10:40.885,2020-02-01 09:14:26.51,L1A,L2E,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,9WkkILnTShdpvDSk1r82iXKO15w1,20200201,129
5e354172af631b5d748e332a5e354172af631b5d748e332a,5e154831831cdd0b1377ad4d,1633586792,2020-02-01 09:14:26.51,2020-02-01 09:14:26.51,L4A,L2E,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,9WkkILnTShdpvDSk1r82iXKO15w1,20200201,129
60a652c74fb7da1b18beb8215e36863faf631b5d748e6cee,5e154831831cdd0b1377ad4d,1633586792,2020-01-08 03:10:40.885,2020-02-02 08:20:15.645,L1A,L4A,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,9WkkILnTShdpvDSk1r82iXKO15w1,20200202,129
5e354172af631b5d748e332a5e36863faf631b5d748e6cee,5e154831831cdd0b1377ad4d,1633586792,2020-02-01 09:14:26.51,2020-02-02 08:20:15.645,L4A,L4A,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,9WkkILnTShdpvDSk1r82iXKO15w1,20200202,129
5e36863faf631b5d748e6cee5e36863faf631b5d748e6cee,5e154831831cdd0b1377ad4d,1633586792,2020-02-02 08:20:15.645,2020-02-02 08:20:15.645,L2E,L4A,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,9WkkILnTShdpvDSk1r82iXKO15w1,20200202,129
5e354172af631b5d748e332a5e465ddc9ec33c0f76aa8f44,5e154831831cdd0b1377ad4d,1633586792,2020-02-01 09:14:26.51,2020-02-14 08:44:12.408,L4A,L2E,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,9WkkILnTShdpvDSk1r82iXKO15w1,20200214,129
5e36863faf631b5d748e6cee5e465ddc9ec33c0f76aa8f44,5e154831831cdd0b1377ad4d,1633586792,2020-02-02 08:20:15.645,2020-02-14 08:44:12.408,L2E,L2E,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,9WkkILnTShdpvDSk1r82iXKO15w1,20200214,129
5e465ddc9ec33c0f76aa8f445e465ddc9ec33c0f76aa8f44,5e154831831cdd0b1377ad4d,1633586792,2020-02-14 08:44:12.408,2020-02-14 08:44:12.408,L4A,L2E,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,9WkkILnTShdpvDSk1r82iXKO15w1,20200214,129
60a652c74fb7da1b18beb8215ee2f4a4fa414c33be603066,5e154831831cdd0b1377ad4d,1633586792,2020-01-08 03:10:40.885,2020-06-12 03:21:08.413,L1A,L2D,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,20200612,196
